,preproc_label,model_label,método,parámetros,columnas_out,auc_train,auc_val,threshold,f1_train,f1_val
0,preprocess_v1_over50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.8342889908256881,0.8049182844779799,1,0.8526229435501752,0.35684121621621623
1,preprocess_v1_smote20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.7443157351885427,0.6548447003636071,1.0,0.6511819454740136,0.45973416731821737
2,preprocess_v1_smote50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.875847626645393,0.7533494011201185,1.0,0.87978273989137,0.39454487789406917
3,preprocess_v1_smoteTomek20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.7914368719472513,0.6410520563834539,1.0,0.7335494611408043,0.4335778321108395
4,preprocess_v1_smoteTomek50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.8856324870036917,0.7501825723093112,1.0,0.8842840808029476,0.44107351225204194
5,preprocess_v1,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.6593301076215305,0.6676559381056383,1,0.47664480222619754,0.4907120743034056
6,preprocess_v1_under50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.8268612747723622,0.8083350558479084,1,0.8409789693764604,0.3630490956072352
7,preprocess_v2_over50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.9662445153570004,0.5,1,0.9651506962139347,0.1570275722932078
8,preprocess_v2_smote20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.7583521686522812,0.6114256954189939,1.0,0.6739602606387257,0.2375757575757576
9,preprocess_v2_smote50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.882117570801755,0.755670204797018,1.0,0.8877840403441115,0.31867219917012446
10,preprocess_v2_smoteTomek20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.7905514032348895,0.6190767563883225,1.0,0.732354750813044,0.32004830917874394
11,preprocess_v2_smoteTomek50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.90047464778121,0.7452869652339618,1.0,0.899749563633604,0.33413693346190937
12,preprocess_v2,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.6593301076215305,0.6676559381056383,1,0.47664480222619754,0.4907120743034056
13,preprocess_v2_under50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 50, 'random_state': 2020}",,0.8268612747723622,0.8083350558479084,1,0.8409789693764604,0.3630490956072352
14,preprocess_v1_over50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.832344435580375,0.8067473173614949,1,0.8508637704300002,0.3572929802437999
15,preprocess_v1_smote20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.7442284950430988,0.6564874240776788,1.0,0.65002463458696,0.46094354215003874
16,preprocess_v1_smote50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.8744889309932191,0.754480388530957,1.0,0.8785887403084418,0.3932267168391345
17,preprocess_v1_smoteTomek20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.7894799236638893,0.6405534524743993,1.0,0.7285127218676226,0.43007275666936134
18,preprocess_v1_smoteTomek50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.8849920892036465,0.7519250168051939,1.0,0.8836671704919282,0.4421215640727836
19,preprocess_v1,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.6524696169418718,0.6631239809048584,1,0.4594486616060727,0.4794414274631497
20,preprocess_v1_under50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.8189608998393143,0.8042229081911121,1,0.8343949044585988,0.3576440569849032
21,preprocess_v2_over50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.965309633027523,0.5,1,0.9641712262632766,0.1570275722932078
22,preprocess_v2_smote20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.7589380872922558,0.6140393621628178,1.0,0.6733877420387262,0.23990355635925256
23,preprocess_v2_smote50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.880858595931392,0.7564154414747913,1.0,0.8866837387964147,0.3182192910140148
24,preprocess_v2_smoteTomek20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.7893418126216291,0.6206827521056673,1.0,0.7277180092714074,0.32308619650391807
25,preprocess_v2_smoteTomek50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.899269193098772,0.7481997943232184,1.0,0.8985661178969729,0.33605769230769234
26,preprocess_v2,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.6524696169418718,0.6631239809048584,1,0.4594486616060727,0.4794414274631497
27,preprocess_v2_under50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 100, 'random_state': 2020}",,0.8189608998393143,0.8042229081911121,1,0.8343949044585988,0.3576440569849032
28,preprocess_v1_over50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.8285176505783806,0.8097231392358356,1,0.8470509755961976,0.3594702543619928
29,preprocess_v1_smote20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.7448144478680835,0.6603082034116038,1.0,0.6478758833563479,0.4644478063540091
30,preprocess_v1_smote50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.8731177702433187,0.7547532860880327,1.0,0.8772327620517891,0.39226691612098535
31,preprocess_v1_smoteTomek20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.7904163540781798,0.6431671192182232,1.0,0.7270204647936177,0.43346613545816726
32,preprocess_v1_smoteTomek50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.881815213842638,0.7467947349135482,1.0,0.8802970951823776,0.4344135802469136
33,preprocess_v1,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.6509677629471972,0.6609065281024694,1,0.4499314128943759,0.46870229007633585
34,preprocess_v1_under50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.803963577932512,0.7884563479217506,1,0.8263757115749526,0.3291722681006338
35,preprocess_v2_over50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.9640381930594336,0.5,1,0.9629020021345815,0.1570275722932078
36,preprocess_v2_smote20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.7523935846744547,0.6127823891818112,1.0,0.6621479867667232,0.23881499395405079
37,preprocess_v2_smote50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.879051156761069,0.7570373617682054,1.0,0.884971488862281,0.3183220234423195
38,preprocess_v2_smoteTomek20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.7897667037345936,0.6221758946470226,1.0,0.7267502612330199,0.324582338902148
39,preprocess_v2_smoteTomek50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.8955021472161531,0.7411774867629737,1.0,0.8944658618240844,0.33028846153846153
40,preprocess_v2,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.6509677629471972,0.6609065281024694,1,0.4499314128943759,0.46870229007633585
41,preprocess_v2_under50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 250, 'random_state': 2020}",,0.803963577932512,0.7884563479217506,1,0.8263757115749526,0.3291722681006338
42,preprocess_v1_over50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 500, 'random_state': 2020}",,0.8255883526126845,0.8112031493830123,1,0.844529878441743,0.3593815294609277
43,preprocess_v1_smote20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 500, 'random_state': 2020}",,0.7355027184168547,0.6543774860796622,1.0,0.6237576146200706,0.4347202295552367
44,preprocess_v1_smote50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 500, 'random_state': 2020}",,0.8692411248504188,0.7486941275349791,1.0,0.872610691472567,0.3911792905081496
45,preprocess_v1_smoteTomek20,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 500, 'random_state': 2020}",,0.7864703719302862,0.638023704932399,1.0,0.7167141254638019,0.4153605015673981
46,preprocess_v1_smoteTomek50,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 500, 'random_state': 2020}",,0.8770938496697556,0.7398826113434845,1.0,0.8753819515176208,0.42209523809523813
47,preprocess_v1,DecisionTreeClassifier,fit,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 500, 'random_state': 2020}",,0.6258225896253211,0.634528352732264,1,0.39567297690867487,0.4174198849630239
