,preproc_label,model_label,método,parámetros,columnas_out,auc_train,auc_val,threshold,f1_train,f1_val
0,preprocess_v1_over50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.7729607100119664,0.7794560669098686,1,0.784061269976763,0.34653684443460947
1,preprocess_v1_smote20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.5436551465420633,0.5517854077106585,0.0,0.28570410997934326,0.1570275722932078
2,preprocess_v1_smote50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.7887913841244516,0.7812877689791924,1.0,0.8021069351334937,0.34890965732087226
3,preprocess_v1_smoteTomek20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.5406064296160378,0.5488725786214018,0.0,0.26733615813936124,0.1570275722932078
4,preprocess_v1_smoteTomek50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.7928375900951806,0.782408293181661,1.0,0.8058556332227165,0.3497219132369299
5,preprocess_v1,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.5,0.5,0,0.15695670449768812,0.1570275722932078
6,preprocess_v1_under50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.7138457418318157,0.7126362032134435,1,0.7238661325752681,0.2865916069600819
7,preprocess_v2_over50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.7726615476665337,0.7796555084734904,1,0.7838433640695002,0.34684385382059796
8,preprocess_v2_smote20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.5436426814443368,0.5517854077106585,0.0,0.28570410997934326,0.1570275722932078
9,preprocess_v2_smote50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.7886168727562823,0.7814504825460872,1.0,0.8019156640579371,0.3496316141995981
10,preprocess_v2_smoteTomek20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.5400881432532808,0.5483372467156203,0.0,0.26709002614867383,0.1570275722932078
11,preprocess_v2_smoteTomek50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.7928501469147894,0.7818362332791524,1.0,0.8059153637101613,0.34976578184251617
12,preprocess_v2,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.5,0.5,0,0.15695670449768812,0.1570275722932078
13,preprocess_v2_under50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'liblinear'}",,0.7138457418318157,0.7126362032134435,1,0.7238661325752681,0.2865916069600819
14,preprocess_v1_over50,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'saga'}",,0.7661173713601914,0.7778580787499498,1,0.773844392213584,0.35108571428571433
15,preprocess_v1_smote20,xgboost_baseline,fit,"{'C': 0.001, 'penalty': 'l1', 'random_state': 2020, 'solver': 'saga'}",,0.5404140377772453,0.5483372467156203,0.0,0.28570410997934326,0.1570275722932078
